卫视,#genre#
CCTV-16,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227346/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227074/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227071/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226773/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226834/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226910/index.m3u8#http://[2409:8087:1408:22::100d]/wh7f454c46tw2885090617_462588728/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227071/index.m3u8
CCTV-14,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226182/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227349/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226720/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226464/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226908/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226974/index.m3u8#http://[2409:8087:1408:26::1143]/wh7f454c46tw584225231_604621035/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226720/index.m3u8
CCTV-5+,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226198/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227236/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226745/index.m3u8#http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001334/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226445/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226912/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221227092/index.m3u8#http://[2409:8087:1408:22::1009]/wh7f454c46tw626499643_-303981518/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226745/index.m3u8
CCTV-13,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226729/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226853/index.m3u8#http://[2409:8087:1408:22::100a]/wh7f454c46tw2769986300_-1641375242/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227333/index.m3u8#http://[2409:8087:1408:26::110c]/wh7f454c46tw1592295134_-2014794135/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226729/index.m3u8
CCTV-9,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226174/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227337/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226734/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226849/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226976/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226470/index.m3u8#http://[2409:8087:1408:26::1106]/wh7f454c46tw523278128_-890481263/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226734/index.m3u8
CCTV-4,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226692/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226899/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226176/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227324/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226845/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226995/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226432/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226636/index.m3u8
CCTV-15,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227361/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226796/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226855/index.m3u8#http://[2409:8087:1408:26::1145]/wh7f454c46tw2812492943_-1546241288/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227361/index.m3u8#http://[2409:8087:1408:26::113b]/wh7f454c46tw1632125992_-233577037/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226796/index.m3u8
CCTV-5,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227293/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227218/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226900/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226664/index.m3u8
CCTV-8,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227325/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226902/index.m3u8
CCTV-6,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227221/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226847/index.m3u8

其它,#genre#
咪咕体育,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227296/index.m3u8
百事通直播3,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226944/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226030/index.m3u8
哒啵赛事,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226903/index.m3u8
咪咕赛事,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227430/index.m3u8
咪咕世界杯,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227436/index.m3u8
百事通直播2,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226027/index.m3u8
移动世界杯4K超清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227393/index.m3u8
